GeoJSON URL,Display Name,Description,Color
geodata/polylines-ctfastrak101.geojson,CT fastrak 101,"CT fastrak 101 <br>New Britain-Hartford <br><a href=""http://ctfastrak.com/"" target=""_blank""> learn more</a>",#c51b8a
geodata/polylines-bike-lanes.geojson,Hartford bike lanes,Hartford bike lanes,blue
