name,pop2010,land-sq-miles-2010,density-number,density-text
Wethersfield,26668,12.31,2166.3,high
Bristol,60477,26.41,2289.8,high
Newington,30562,13.14,2325.7,high
East Haven,29257,12.3,2377.7,high
Milford,52759,22.18,2379.2,high
Derby,12902,5.06,2552.1,high
Meriden,60868,23.79,2558.2,high
East Hartford,51252,18,2847.9,high
West Hartford,63268,21.84,2897.3,high
Stratford,51384,17.48,2939.4,high
Ansonia,19249,6.02,3198.1,high
Stamford,122643,37.64,3258.4,high
Norwalk,85603,22.86,3744.7,high
Waterbury,110366,28.52,3869.9,high
New London,27620,5.62,4918.7,high
West Haven,55564,10.75,5170.3,high
New Britain,73206,13.39,5466,high
New Haven,129779,18.68,6948,high
Hartford,124775,17.38,7178.9,high
Bridgeport,144229,15.97,9029.1,high
